"period","region_final_dep","region_final_arr","Num_month","Num","Num_per_month","move_dir"
"Pandemic (2022/2023)","Africa","South America",13,169207,13015.9,"Africa_SouthAmerica"
"Pandemic (2022/2023)","Africa","South China",13,320128,24625.2,"Africa_SouthChina"
"Pandemic (2022/2023)","Africa","South-eastern Asia",13,581268,44712.9,"Africa_SoutheasternAsia"
"Pandemic (2022/2023)","Africa","Southern Asia",13,1291171,99320.8,"Africa_SouthernAsia"
"Pandemic (2022/2023)","Africa","Western Asia",13,14661995,1127845.8,"Africa_WesternAsia"
"Pandemic (2022/2023)","Europe","Africa",13,27068961,2082227.8,"Europe_Africa"
"Pandemic (2022/2023)","Europe","Japan/Korea",13,2541894,195530.3,"Europe_JapanKorea"
"Pandemic (2022/2023)","Europe","North America",13,34945058,2688081.4,"Europe_NorthAmerica"
"Pandemic (2022/2023)","Europe","North China",13,239657,18435.2,"Europe_NorthChina"
"Pandemic (2022/2023)","Europe","Oceania",13,1950199,150015.3,"Europe_Oceania"
"Pandemic (2022/2023)","Europe","Russia",13,1597177,122859.8,"Europe_Russia"
"Pandemic (2022/2023)","Europe","South America",13,7204093,554161,"Europe_SouthAmerica"
"Pandemic (2022/2023)","Europe","South China",13,1509897,116145.9,"Europe_SouthChina"
"Pandemic (2022/2023)","Europe","South-eastern Asia",13,6474066,498005.1,"Europe_SoutheasternAsia"
"Pandemic (2022/2023)","Europe","Southern Asia",13,7379159,567627.6,"Europe_SouthernAsia"
"Pandemic (2022/2023)","Europe","Western Asia",13,39789768,3060751.4,"Europe_WesternAsia"
"Pandemic (2022/2023)","Japan/Korea","Africa",13,164040,12618.5,"JapanKorea_Africa"
"Pandemic (2022/2023)","Japan/Korea","Europe",13,2612154,200934.9,"JapanKorea_Europe"
"Pandemic (2022/2023)","Japan/Korea","North America",13,3881634,298587.2,"JapanKorea_NorthAmerica"
"Pandemic (2022/2023)","Japan/Korea","North China",13,575212,44247.1,"JapanKorea_NorthChina"
"Pandemic (2022/2023)","Japan/Korea","Oceania",13,842323,64794.1,"JapanKorea_Oceania"
"Pandemic (2022/2023)","Japan/Korea","Russia",13,69057,5312.1,"JapanKorea_Russia"
"Pandemic (2022/2023)","Japan/Korea","South America",13,133944,10303.4,"JapanKorea_SouthAmerica"
"Pandemic (2022/2023)","Japan/Korea","South China",13,4742499,364807.6,"JapanKorea_SouthChina"
"Pandemic (2022/2023)","Japan/Korea","South-eastern Asia",13,10263507,789500.5,"JapanKorea_SoutheasternAsia"
"Pandemic (2022/2023)","Japan/Korea","Southern Asia",13,720973,55459.5,"JapanKorea_SouthernAsia"
"Pandemic (2022/2023)","Japan/Korea","Western Asia",13,461988,35537.5,"JapanKorea_WesternAsia"
"Pandemic (2022/2023)","North America","Africa",13,2882721,221747.8,"NorthAmerica_Africa"
"Pandemic (2022/2023)","North America","Europe",13,33708106,2592931.2,"NorthAmerica_Europe"
"Pandemic (2022/2023)","North America","Japan/Korea",13,3951066,303928.2,"NorthAmerica_JapanKorea"
"Pandemic (2022/2023)","North America","North China",13,110340,8487.7,"NorthAmerica_NorthChina"
"Pandemic (2022/2023)","North America","Oceania",13,1843713,141824.1,"NorthAmerica_Oceania"
"Pandemic (2022/2023)","North America","Russia",13,85497,6576.7,"NorthAmerica_Russia"
"Pandemic (2022/2023)","North America","South America",13,8632947,664072.8,"NorthAmerica_SouthAmerica"
"Pandemic (2022/2023)","North America","South China",13,1442158,110935.2,"NorthAmerica_SouthChina"
"Pandemic (2022/2023)","North America","South-eastern Asia",13,3732394,287107.2,"NorthAmerica_SoutheasternAsia"
"Pandemic (2022/2023)","North America","Southern Asia",13,4527553,348273.3,"NorthAmerica_SouthernAsia"
"Pandemic (2022/2023)","North America","Western Asia",13,4951300,380869.2,"NorthAmerica_WesternAsia"
"Pandemic (2022/2023)","North China","Africa",13,66504,5115.7,"NorthChina_Africa"
"Pandemic (2022/2023)","North China","Europe",13,281753,21673.3,"NorthChina_Europe"
"Pandemic (2022/2023)","North China","Japan/Korea",13,587541,45195.5,"NorthChina_JapanKorea"
"Pandemic (2022/2023)","North China","North America",13,168805,12985,"NorthChina_NorthAmerica"
"Pandemic (2022/2023)","North China","Oceania",13,143768,11059.1,"NorthChina_Oceania"
"Pandemic (2022/2023)","North China","Russia",13,50974,3921.1,"NorthChina_Russia"
"Pandemic (2022/2023)","North China","South America",13,7156,550.5,"NorthChina_SouthAmerica"
"Pandemic (2022/2023)","North China","South China",13,77652177,5973244.4,"NorthChina_SouthChina"
"Pandemic (2022/2023)","North China","South-eastern Asia",13,683724,52594.2,"NorthChina_SoutheasternAsia"
"Pandemic (2022/2023)","North China","Southern Asia",13,105780,8136.9,"NorthChina_SouthernAsia"
"Pandemic (2022/2023)","North China","Western Asia",13,101795,7830.4,"NorthChina_WesternAsia"
"Pandemic (2022/2023)","Oceania","Africa",13,263958,20304.5,"Oceania_Africa"
"Pandemic (2022/2023)","Oceania","Europe",13,2088416,160647.4,"Oceania_Europe"
"Pandemic (2022/2023)","Oceania","Japan/Korea",13,862574,66351.8,"Oceania_JapanKorea"
"Pandemic (2022/2023)","Oceania","North America",13,1890644,145434.2,"Oceania_NorthAmerica"
"Pandemic (2022/2023)","Oceania","North China",13,103322,7947.8,"Oceania_NorthChina"
"Pandemic (2022/2023)","Oceania","Russia",13,14872,1144,"Oceania_Russia"
"Pandemic (2022/2023)","Oceania","South America",13,138838,10679.8,"Oceania_SouthAmerica"
"Pandemic (2022/2023)","Oceania","South China",13,700221,53863.2,"Oceania_SouthChina"
